State	State Abbreviation	High School or Higher	Bachelors or Higher
Montana	MT	0.94	0.331
Wyoming	WY	0.936	0.282
Vermont	VT	0.935	0.397
Minnesota	MN	0.934	0.368
New Hampshire	NH	0.933	0.376
Maine	ME	0.932	0.325
Alaska	AK	0.931	0.3
North Dakota	ND	0.931	0.307
Utah	UT	0.93	0.347
Wisconsin	WI	0.926	0.308
Hawaii	HI	0.925	0.336
Iowa	IA	0.925	0.293
South Dakota	SD	0.922	0.293
Colorado	CO	0.921	0.416
District of Columbia	DC	0.919	0.598
Washington	WA	0.917	0.367
Nebraska	NE	0.916	0.325
Kansas	KS	0.914	0.339
Idaho	ID	0.913	0.287
Michigan	MI	0.913	0.3
Massachusetts	MA	0.911	0.445
Oregon	OR	0.911	0.344
Pennsylvania	PA	0.91	0.323
Connecticut	CT	0.909	0.4
Ohio	OH	0.908	0.289
Delaware	DE	0.906	0.327
Maryland	MD	0.906	0.409
Missouri	MO	0.906	0.299
New Jersey	NJ	0.903	0.407
Virginia	VA	0.903	0.395
Illinois	IL	0.897	0.355
Indiana	IN	0.893	0.272
Rhode Island	RI	0.892	0.35
Oklahoma	OK	0.886	0.261
Florida	FL	0.885	0.305
North Carolina	NC	0.885	0.32
South Carolina	SC	0.883	0.29
Tennessee	TN	0.882	0.282
Arizona	AZ	0.879	0.303
Georgia	GA	0.879	0.322
West Virginia	WV	0.876	0.213
Arkansas	AR	0.872	0.238
Kentucky	KY	0.872	0.25
New York	NY	0.872	0.375
Alabama	AL	0.869	0.262
Nevada	NV	0.869	0.255
New Mexico	NM	0.865	0.281
Louisiana	LA	0.859	0.249
Mississippi	MS	0.853	0.228
Texas	TX	0.844	0.307
California	CA	0.839	0.347
